id|rightsId|version
0100000000010800|00000000000000000000000000000000|262144
010000000EEF0800|00000000000000000000000000000000|65536
010000100C4B8800|00000000000000000000000000000000|196608
010000100FB62800|00000000000000000000000000000000|65536
010000300C79C800|00000000000000000000000000000000|393216
010000300C79D001|00000000000000000000000000000000|0
010000400F582800|00000000000000000000000000000000|65536
010000400F583001|00000000000000000000000000000000|0
010000400F583002|00000000000000000000000000000000|0
010000401313A800|00000000000000000000000000000000|131072
010000500B9F4800|00000000000000000000000000000000|65536
010000500DB50800|00000000000000000000000000000000|262144
01000060085D2800|00000000000000000000000000000000|131072
010000600CD54800|00000000000000000000000000000000|131072
010000600EC82800|00000000000000000000000000000000|327680
010000700A572800|00000000000000000000000000000000|65536
0100008011882800|00000000000000000000000000000000|393216
010000A00CA78800|00000000000000000000000000000000|65536
010000B00D800800|00000000000000000000000000000000|327680
010000C010E76800|00000000000000000000000000000000|131072
010000E004DAE800|00000000000000000000000000000000|327680
010000E00E612800|00000000000000000000000000000000|196608
010000E011176800|00000000000000000000000000000000|65536
0100011005D92800|00000000000000000000000000000000|196608
0100011005D9306A|00000000000000000000000000000000|131072
010001300CC4A800|00000000000000000000000000000000|327680
010001300D14A800|00000000000000000000000000000000|196608
0100013010456800|00000000000000000000000000000000|131072
010001400E474800|00000000000000000000000000000000|65536
0100016007154800|00000000000000000000000000000000|131072
0100016007155001|00000000000000000000000000000000|0
0100016007155002|00000000000000000000000000000000|0
0100016007155003|00000000000000000000000000000000|0
0100016007155004|00000000000000000000000000000000|0
0100016007155005|00000000000000000000000000000000|0
010001600C962800|00000000000000000000000000000000|262144
01000160127EC800|00000000000000000000000000000000|65536
0100016012D38800|00000000000000000000000000000000|65536
0100019006F4E800|00000000000000000000000000000000|131072
010001A00A1F6800|00000000000000000000000000000000|65536
010001B005E5C800|00000000000000000000000000000000|131072
010001C011354800|00000000000000000000000000000000|131072
010001C011BBA800|00000000000000000000000000000000|65536
010001E00A5F6800|00000000000000000000000000000000|65536
010002100CDCC800|00000000000000000000000000000000|65536
0100023009C72800|00000000000000000000000000000000|196608
010002300C632800|00000000000000000000000000000000|131072
0100024008310800|00000000000000000000000000000000|196608
010002600E17A800|00000000000000000000000000000000|196608
0100026011058800|00000000000000000000000000000000|65536
010002800B818800|00000000000000000000000000000000|65536
010002900294A800|00000000000000000000000000000000|131072
010002A00CD68800|00000000000000000000000000000000|131072
010002B00C534800|00000000000000000000000000000000|589824
010002C00C270800|00000000000000000000000000000000|65536
010002C012026800|00000000000000000000000000000000|131072
010002D00632E800|00000000000000000000000000000000|131072
010002D00EDD0800|00000000000000000000000000000000|65536
010002E00D3FE800|00000000000000000000000000000000|131072
010002F001220800|00000000000000000000000000000000|131072
010002F009A7A800|00000000000000000000000000000000|65536
010003000E146800|00000000000000000000000000000000|65536
0100030010D3E800|00000000000000000000000000000000|196608
010003100F1F4800|00000000000000000000000000000000|131072
01000320000CC800|00000000000000000000000000000000|65536
01000320060AC800|00000000000000000000000000000000|65536
010003200ABE4800|00000000000000000000000000000000|65536
01000320110C2800|00000000000000000000000000000000|65536
010003300BA80800|00000000000000000000000000000000|65536
010003700B11A800|00000000000000000000000000000000|65536
010003700F800800|00000000000000000000000000000000|65536
010003900350C800|00000000000000000000000000000000|524288
010003900350D001|00000000000000000000000000000000|0
010003900350D002|00000000000000000000000000000000|0
010003900350D003|00000000000000000000000000000000|0
010003900350D004|00000000000000000000000000000000|0
010003900350D005|00000000000000000000000000000000|0
010003900350D006|00000000000000000000000000000000|0
010003900350D007|00000000000000000000000000000000|0
010003900350D008|00000000000000000000000000000000|0
010003900350D009|00000000000000000000000000000000|0
010003900350D00A|00000000000000000000000000000000|0
010003900350D00B|00000000000000000000000000000000|0
010003900350D00C|00000000000000000000000000000000|0
010003900350D00D|00000000000000000000000000000000|0
010003900350D00E|00000000000000000000000000000000|0
010003900350D00F|00000000000000000000000000000000|0
010003900350D010|00000000000000000000000000000000|0
010003900350D011|00000000000000000000000000000000|0
010003900350D012|00000000000000000000000000000000|0
010003900350D013|00000000000000000000000000000000|0
010003900350D014|00000000000000000000000000000000|0
010003900350D015|00000000000000000000000000000000|0
010003B00D3A2800|00000000000000000000000000000000|65536
010003B00F6A6800|00000000000000000000000000000000|327680
010003C0099EE800|00000000000000000000000000000000|65536
010003C00B868800|00000000000000000000000000000000|65536
010003D00F262800|00000000000000000000000000000000|65536
010003E0099AC800|00000000000000000000000000000000|65536
010003E00FB90800|00000000000000000000000000000000|196608
010003F003A34800|00000000000000000000000000000000|131072
010003F00C5C0800|00000000000000000000000000000000|65536
010003F00CC98800|00000000000000000000000000000000|65536
010004000AABC800|00000000000000000000000000000000|458752
010004100FBB0800|00000000000000000000000000000000|65536
0100041013360800|00000000000000000000000000000000|65536
0100043011CEC800|00000000000000000000000000000000|65536
010004400B22A800|00000000000000000000000000000000|65536
010004400B28A800|00000000000000000000000000000000|131072
01000440123A6800|00000000000000000000000000000000|65536
0100046011AE6800|00000000000000000000000000000000|65536
0100047009742800|00000000000000000000000000000000|131072
0100047013378800|00000000000000000000000000000000|262144
010004B0130C8800|00000000000000000000000000000000|131072
010004D00A9C0800|00000000000000000000000000000000|131072
010004D00D32A800|00000000000000000000000000000000|65536
010005000B244800|00000000000000000000000000000000|131072
010005100AF90800|00000000000000000000000000000000|65536
0100052004384800|00000000000000000000000000000000|131072
010005300EDCC800|00000000000000000000000000000000|65536
010005400E394800|00000000000000000000000000000000|65536
01000540139F6800|00000000000000000000000000000000|131072
0100055007B86800|00000000000000000000000000000000|196608
010005500ADDC800|00000000000000000000000000000000|196608
010005800F1BA800|00000000000000000000000000000000|65536
01000580117EA800|00000000000000000000000000000000|65536
0100059009EFE800|00000000000000000000000000000000|131072
0100059012BAE800|00000000000000000000000000000000|65536
010005A00B312800|00000000000000000000000000000000|65536
010005C00B482800|00000000000000000000000000000000|131072
010005E00E2BC800|00000000000000000000000000000000|65536
010006000F85E800|00000000000000000000000000000000|131072
0100060011108800|00000000000000000000000000000000|196608
0100060011109001|00000000000000000000000000000000|0
0100060011109002|00000000000000000000000000000000|0
0100060011109003|00000000000000000000000000000000|0
0100060011109004|00000000000000000000000000000000|0
0100060011109005|00000000000000000000000000000000|0
0100060011109006|00000000000000000000000000000000|0
0100060011109007|00000000000000000000000000000000|0
0100060011109008|00000000000000000000000000000000|0
0100060011109009|00000000000000000000000000000000|0
010006200949E800|00000000000000000000000000000000|65536
0100063005C86800|00000000000000000000000000000000|65536
0100066004D68800|00000000000000000000000000000000|65536
010006600BF1F002|00000000000000000000000000000000|0
010006600BF1F003|00000000000000000000000000000000|0
010006600D1C0800|00000000000000000000000000000000|65536
0100068010226800|00000000000000000000000000000000|65536
0100068011DB0800|00000000000000000000000000000000|65536
0100069000078800|00000000000000000000000000000000|524288
0100069000079001|00000000000000000000000000000000|65536
0100069000079002|00000000000000000000000000000000|0
0100069000079003|00000000000000000000000000000000|0
0100069000079004|00000000000000000000000000000000|0
0100069000079005|00000000000000000000000000000000|720896
0100069000079006|00000000000000000000000000000000|983040
0100069000079008|00000000000000000000000000000000|65536
010006900007900B|00000000000000000000000000000000|65536
010006900007900D|00000000000000000000000000000000|65536
010006900007900E|00000000000000000000000000000000|65536
010006900007900F|00000000000000000000000000000000|65536
0100069000079033|00000000000000000000000000000000|262144
0100069000079034|00000000000000000000000000000000|196608
0100069000079035|00000000000000000000000000000000|131072
0100069000079036|00000000000000000000000000000000|0
0100069000079037|00000000000000000000000000000000|65536
0100069000079038|00000000000000000000000000000000|131072
0100069000079039|00000000000000000000000000000000|0
010006900007903A|00000000000000000000000000000000|65536
010006900007903B|00000000000000000000000000000000|0
010006900007903C|00000000000000000000000000000000|0
010006900007903D|00000000000000000000000000000000|65536
010006900007903E|00000000000000000000000000000000|0
010006900007903F|00000000000000000000000000000000|0
0100069000079040|00000000000000000000000000000000|262144
0100069000079042|00000000000000000000000000000000|65536
0100069000079049|00000000000000000000000000000000|0
010006900007904A|00000000000000000000000000000000|327680
010006900007904B|00000000000000000000000000000000|0
010006900007904C|00000000000000000000000000000000|131072
010006900007904D|00000000000000000000000000000000|65536
010006900007904E|00000000000000000000000000000000|131072
0100069000079055|00000000000000000000000000000000|131072
0100069000079056|00000000000000000000000000000000|65536
0100069000079058|00000000000000000000000000000000|0
0100069000079059|00000000000000000000000000000000|196608
010006900007905A|00000000000000000000000000000000|0
010006900007905B|00000000000000000000000000000000|0
010006900007905E|00000000000000000000000000000000|0
010006900007905F|00000000000000000000000000000000|0
0100069000079062|00000000000000000000000000000000|0
0100069000079063|00000000000000000000000000000000|0
0100069000079066|00000000000000000000000000000000|0
0100069000079067|00000000000000000000000000000000|0
010006900007906A|00000000000000000000000000000000|0
010006900007906B|00000000000000000000000000000000|0
010006900007906E|00000000000000000000000000000000|0
010006900007906F|00000000000000000000000000000000|0
0100069000079072|00000000000000000000000000000000|0
0100069000079073|00000000000000000000000000000000|0
0100069000079076|00000000000000000000000000000000|0
0100069000079077|00000000000000000000000000000000|0
0100069000079078|00000000000000000000000000000000|65536
0100069000079079|00000000000000000000000000000000|65536
010006900007907D|00000000000000000000000000000000|0
010006900007907E|00000000000000000000000000000000|0
010006900007907F|00000000000000000000000000000000|0
0100069000079080|00000000000000000000000000000000|0
0100069000079081|00000000000000000000000000000000|0
0100069000079082|00000000000000000000000000000000|0
0100069000079083|00000000000000000000000000000000|0
0100069000079084|00000000000000000000000000000000|196608
0100069000079085|00000000000000000000000000000000|131072
0100069000079086|00000000000000000000000000000000|131072
0100069000079087|00000000000000000000000000000000|131072
0100069000079088|00000000000000000000000000000000|0
0100069000079089|00000000000000000000000000000000|0
010006900007908A|00000000000000000000000000000000|0
010006900007908B|00000000000000000000000000000000|0
010006900007908C|00000000000000000000000000000000|0
